src,dst,predictions
13,8,0.000739604
14,2,0.000739604
8,18,0.985487521
6,7,0
16,11,0
6,11,0
6,4,0
12,18,0.477914
0,13,0.477914
18,17,1.06E-08
4,17,1.06E-08
0,8,0
3,17,0
0,3,0
2,12,0
9,10,0
8,0,0
9,10,0.470983534
16,7,0.470983534
10,1,0.053559834
2,16,2.09E-06
14,2,2.09E-06
8,15,0.025417006
0,6,0
12,5,0
1,6,1.46E-28
11,6,1.46E-28
10,2,0.308573944
6,4,0.308573944
2,7,0.166719998
17,16,0.166719998
3,9,0
17,13,0
19,5,0.029381086
19,7,0.085337699
5,9,0
16,18,0
19,5,2.84E-14
17,12,2.84E-14
14,13,0.065626962
6,3,0
18,16,0
12,18,0.000405548
10,17,0.000405548
14,17,0.41382428
13,1,0.41382428
5,9,0.187961879
12,9,0.187961879
0,9,0.950731754
13,6,0
2,12,0
13,19,0.074611569
7,5,0.072481748
12,18,0.23243473
15,13,0.23243473
1,3,8.39E-21
1,16,8.39E-21
16,18,0.085513352
8,19,0
12,16,0
18,6,0.156910683
15,8,0.156910683
17,15,0
19,13,0
17,6,3.46E-32
0,15,3.46E-32
17,9,0
11,17,0
6,0,0.073408725
13,16,0.013993109
0,5,0.502807438
1,5,0.131104796
8,4,0.131104796
8,7,0
8,6,0
5,4,0.924084067
16,6,0
16,8,0
19,8,0.205119723
15,17,0.205119723
11,9,0.924802721
10,18,0.00109228
1,3,0.00109228
16,19,0.317631144
18,15,0.317631144
7,10,0
19,17,0
0,12,0.235185624
0,9,0.235185624
13,7,0
2,4,0
14,1,0.070855574
11,2,1.13E-28
5,8,1.13E-28
3,2,0
3,5,0
5,12,0
5,4,0
7,15,0.00155573
3,17,0.11690909
15,17,0.11690909
7,2,0
11,13,0
19,0,0
16,1,0
12,3,0
17,14,0
0,11,0
7,17,0
3,2,0.004290831
4,3,0.0042298
17,8,0
4,19,0
9,11,3.42E-13
7,18,3.42E-13
18,8,0.996322453
11,17,0.001669231
15,3,1.99E-30
14,18,1.99E-30
8,0,0
0,11,0
13,17,0.139169235
7,19,0.139169235
11,10,0
12,4,0
12,9,0.004152035
14,5,0.004152035
16,14,1.16E-17
0,2,1.16E-17
10,8,0.301009277
6,4,0.301009277
15,18,0.324320223
18,16,0.324320223
1,4,2.53E-26
7,15,2.53E-26
5,13,0.259682856
17,16,0.259682856
10,6,0.070202375
1,8,0.003553973
14,15,0.029672236
9,13,0
8,9,0
13,18,0.060512772
8,15,0
19,18,0
8,15,0.199975708
15,1,0.199975708
4,17,0.956764817
4,10,0
4,14,0
10,0,0.346344081
19,6,0.346344081
15,16,0
19,11,0
18,11,0
8,18,0
0,14,0.275913038
16,12,0.275913038
4,18,0.090034082
13,0,0.153299057
8,15,0.153299057
0,10,0.033129252
11,8,0
3,7,0
18,2,0.070465647
17,4,0.034600416
0,1,0.021802727
10,9,1.47E-18
9,6,1.47E-18
16,18,0.023769354
17,19,0.023769354
16,8,0.018813078
3,12,0.995148063
1,13,0
11,2,0
12,14,0
13,7,0
6,12,0
15,9,0
3,5,1.17E-06
5,0,1.17E-06
2,13,0.032530013
12,6,0
0,19,0
1,17,0.995229423
2,1,0.222177492
12,16,0.222177492
3,17,1.21E-32
12,16,1.21E-32
2,10,0.240170484
16,19,0.240170484
8,14,0.041064774
7,9,0.033386383
15,9,0.12091489
6,5,0.12091489
16,12,1.35E-07
4,16,1.35E-07
12,7,0.907106936
17,5,0
11,2,0
18,3,0
3,2,0
17,1,0
12,11,0
19,18,5.59E-15
3,16,5.59E-15
12,13,0
9,10,0
5,16,2.12E-07
15,12,2.12E-07
15,8,0.337230158
2,1,0.337230158
14,17,0.107762484
16,11,0.107762484
12,4,0.085641557
8,7,0
16,10,0
2,17,2.22E-12
9,12,2.22E-12
5,10,7.93E-08
19,12,7.93E-08
15,5,1.28E-07
3,5,1.28E-07
0,6,0.16907783
6,10,0.16907783
16,19,0.371830218
15,10,0.371830218
10,8,0
6,0,0
1,15,5.47E-20
1,2,5.47E-20
3,11,0.460804207
5,14,0.460804207
11,7,0
8,7,0
15,0,0.005468092
8,17,0.965924084
0,18,3.82E-19
19,15,3.82E-19
8,16,0.067165412
10,2,0
1,10,0
8,18,0.336057099
13,4,0.336057099
0,14,0.002597099
3,5,0.437332754
6,13,0.437332754
10,2,0.204652635
1,4,0.204652635
11,2,0
3,12,0
10,6,9.71E-10
13,7,9.71E-10
4,8,0.183936747
9,15,0.183936747
3,9,0.163279023
5,3,0.163279023
10,16,0.264043163
3,17,0.264043163
4,12,0
17,12,0
9,0,0.935230017
13,7,0
2,10,0
9,1,0
1,8,0
10,1,0.001302584
19,8,0.074025162
11,10,0.870045543
8,11,0.987853587
3,2,0.082330705
10,18,0.025225709
15,14,0
16,14,0
6,7,0.336474797
7,2,0.336474797
7,18,0.185756158
1,4,0.185756158
4,12,0.312036398
10,3,0.312036398
0,2,1.01E-05
0,1,1.01E-05
17,0,0
19,1,0
16,15,0.984701097
14,16,0.030944159
17,5,0
16,2,0
19,16,0.029280627
0,14,0.013977255
3,7,0.030963827
1,3,0.063868712
13,11,0
2,13,0
10,9,0.658328593
5,15,0
10,0,0
18,17,0.003765098
2,8,0.184284683
12,6,0.184284683
7,12,0.001067557
12,1,0
8,6,0
16,5,1.25E-10
7,15,1.25E-10
6,5,0
16,7,0
9,11,0.002921702
3,18,0.001032856
10,11,0.224679301
16,13,0.224679301
19,15,0
9,0,0
12,4,0.990881503
11,13,0
17,7,0
12,8,0.036185629
13,17,0.485857396
0,4,0.485857396
16,19,0.00921185
18,19,0.00921185
13,2,9.35E-19
10,5,9.35E-19
19,3,0.169368432
7,5,0.169368432
7,13,0.161291377
11,18,0.161291377
1,16,0.072584749
2,8,0.164995581
9,16,0.164995581
16,7,0.590761542
13,1,0.179439396
1,15,0.795786083
12,11,0.28433057
19,9,0.28433057
12,18,0
13,3,0
6,18,0.057831331
2,1,1.22E-08
13,2,1.22E-08
9,4,0
12,9,0
16,12,0.002900691
4,11,0.099293051
14,1,0
3,2,0
2,19,0
9,19,0
3,2,0
8,7,0
7,10,0.859845102
5,16,0.113155864
19,6,7.45E-05
18,14,7.45E-05
15,5,0.448283361
1,2,0.448283361
8,15,5.35E-14
0,2,5.35E-14
15,14,0.154647729
0,16,0.154647729
15,11,0.153852307
3,15,0.153852307
17,15,0
1,5,0
7,11,0.058982038
7,4,0
3,11,0
3,17,0
16,5,0
7,12,0.226318036
18,11,0.226318036
10,19,0.120288249
10,11,0.120288249
8,3,0.168649524
17,9,0.473486347
16,12,0.473486347
1,14,0.151148997
8,19,0.151148997
1,15,0
14,11,0
13,16,0.472461135
17,14,0.472461135
3,13,0
2,10,0
1,17,0.370684342
18,8,0.370684342
17,14,0.003485085
4,12,0
17,18,0
9,5,0.004756102
16,12,0.004756102
3,18,0.062671577
5,7,0.361017213
8,4,0.361017213
16,18,0
4,8,0
18,7,0
2,17,0
4,14,0.922176182
13,4,0.172321466
19,4,0.172321466
12,4,0.947167397
11,2,0.018531875
12,11,0
