tier,defense,scheme,q_attack_frac,tpr_mean,tpr_ci95,inversion_rate,edge_evasion_rate,op_count,cost_vs_T1,complexity,measured_threshold_z,forge,w_m,m
V1T,D1_RF,T_max,0.2,0.978333,0.011978,0.0,0.0,6,0.86,O(k),2.1638,,0.8,0.417
V1T,D1_RF,T_median,0.2,0.995,0.007275,0.0,0.0,16,2.29,O(k log k),2.1638,,0.8,0.417
V1T,D1_RF,T4_EigenTrust,0.2,0.313333,0.057107,0.01,0.0,11400,1628.57,O(iters * E),2.1638,,0.8,0.417
V1T,D1_RF,T_meanvar_z,0.2,0.995,0.005601,0.0,0.0,18,2.57,O(k),2.1638,,0.8,0.417
V0,D1_RF,T1_mean,0.3,0.991667,0.007155,0.0,0.0,7,1.0,O(k),2.1638,0.0,,
V0,D1_RF,T2_SL,0.3,0.991667,0.007155,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0,D1_RF,T3_Beta,0.3,0.991667,0.007155,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0,D1_RF,T5_TFLDT,0.3,0.983333,0.01828,0.0,0.0,20,2.86,O(k + deg),2.1638,0.0,,
V0,D1_RF,T_max,0.3,0.991667,0.007155,0.0,0.0,6,0.86,O(k),2.1638,0.0,,
V0,D1_RF,T_median,0.3,0.265,0.042831,0.07,0.0,16,2.29,O(k log k),2.1638,0.0,,
V0,D1_RF,T4_EigenTrust,0.3,0.198333,0.04348,0.06,0.0,11400,1628.57,O(iters * E),2.1638,0.0,,
V0,D1_RF,T_meanvar_z,0.3,0.991667,0.007155,0.0,0.0,18,2.57,O(k),2.1638,0.0,,
V0T,D1_RF,T1_mean,0.3,0.991667,0.007155,0.0,0.0,7,1.0,O(k),2.1638,0.0,,
V0T,D1_RF,T2_SL,0.3,0.991667,0.007155,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0T,D1_RF,T3_Beta,0.3,0.991667,0.007155,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0T,D1_RF,T5_TFLDT,0.3,0.983333,0.01828,0.0,0.0,20,2.86,O(k + deg),2.1638,0.0,,
V0T,D1_RF,T_max,0.3,0.991667,0.007155,0.0,0.0,6,0.86,O(k),2.1638,0.0,,
V0T,D1_RF,T_median,0.3,0.265,0.042831,0.07,0.0,16,2.29,O(k log k),2.1638,0.0,,
V0T,D1_RF,T4_EigenTrust,0.3,0.198333,0.04348,0.06,0.0,11400,1628.57,O(iters * E),2.1638,0.0,,
V0T,D1_RF,T_meanvar_z,0.3,0.991667,0.007155,0.0,0.0,18,2.57,O(k),2.1638,0.0,,
V1,D1_RF,T1_mean,0.3,0.98,0.01336,0.0,0.0,7,1.0,O(k),2.1638,,0.7,0.2741
V1,D1_RF,T2_SL,0.3,0.98,0.01336,0.0,0.0,20,2.86,O(k),2.1638,,0.7,0.2741
V1,D1_RF,T3_Beta,0.3,0.98,0.01336,0.0,0.0,20,2.86,O(k),2.1638,,0.7,0.2741
V1,D1_RF,T5_TFLDT,0.3,0.965,0.01628,0.0,0.0,20,2.86,O(k + deg),2.1638,,0.7,0.2741
V1,D1_RF,T_max,0.3,0.933333,0.022267,0.0,0.0,6,0.86,O(k),2.1638,,0.7,0.2741
V1,D1_RF,T_median,0.3,0.955,0.023148,0.0,0.0,16,2.29,O(k log k),2.1638,,0.7,0.2741
V1,D1_RF,T4_EigenTrust,0.3,0.286667,0.054163,0.01,0.0,11400,1628.57,O(iters * E),2.1638,,0.7,0.2741
V1,D1_RF,T_meanvar_z,0.3,0.976667,0.013149,0.0,0.0,18,2.57,O(k),2.1638,,0.7,0.2741
V1T,D1_RF,T1_mean,0.3,1.0,0.0,0.0,0.0,7,1.0,O(k),2.1638,,0.7,0.6106
V1T,D1_RF,T2_SL,0.3,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,,0.7,0.6106
V1T,D1_RF,T3_Beta,0.3,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,,0.7,0.6106
V1T,D1_RF,T5_TFLDT,0.3,1.0,0.0,0.0,0.0,20,2.86,O(k + deg),2.1638,,0.7,0.6106
V1T,D1_RF,T_max,0.3,0.996667,0.004596,0.0,0.0,6,0.86,O(k),2.1638,,0.7,0.6106
V1T,D1_RF,T_median,0.3,1.0,0.0,0.0,0.0,16,2.29,O(k log k),2.1638,,0.7,0.6106
V1T,D1_RF,T4_EigenTrust,0.3,0.531667,0.06224,0.0,0.0,11400,1628.57,O(iters * E),2.1638,,0.7,0.6106
V1T,D1_RF,T_meanvar_z,0.3,0.998333,0.003267,0.0,0.0,18,2.57,O(k),2.1638,,0.7,0.6106
V0,D1_RF,T1_mean,0.4,0.993333,0.006434,0.0,0.0,7,1.0,O(k),2.1638,0.0,,
V0,D1_RF,T2_SL,0.4,0.993333,0.006434,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0,D1_RF,T3_Beta,0.4,0.993333,0.006434,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0,D1_RF,T5_TFLDT,0.4,0.986667,0.012,0.0,0.0,20,2.86,O(k + deg),2.1638,0.0,,
V0,D1_RF,T_max,0.4,0.991667,0.007155,0.0,0.0,6,0.86,O(k),2.1638,0.0,,
V0,D1_RF,T_median,0.4,0.494,0.052451,0.01,0.0,16,2.29,O(k log k),2.1638,0.0,,
V0,D1_RF,T4_EigenTrust,0.4,0.255,0.050105,0.02,0.0,11400,1628.57,O(iters * E),2.1638,0.0,,
