scheme,defense,q_attack_frac,tuned_attacker_tpr,tpr_ci95,breakdown_tpr,attacker_strategy,benign_mean,benign_std,threshold_p99,thr_in_tail_std,realized_benign_fpr,op_count,cost_vs_T1,complexity
T_median,D2_CNN,0.3,0.113667,0.031134,0.426,attack_frac=0.20,0.0495,0.0541,0.2135,3.029,0.01,16,2.29,O(k log k)
T_median,D2_CNN,0.4,0.113667,0.031134,0.426,attack_frac=0.20,0.0495,0.0541,0.2135,3.029,0.01,16,2.29,O(k log k)
T_median,D2_CNN,0.5,0.113667,0.031134,0.426,attack_frac=0.20,0.0495,0.0541,0.2135,3.029,0.01,16,2.29,O(k log k)
T_median,D2_CNN,0.6,0.113667,0.031134,0.426,attack_frac=0.20,0.0495,0.0541,0.2135,3.029,0.01,16,2.29,O(k log k)
T_median,D2_CNN,0.7,0.113667,0.031134,0.426,attack_frac=0.20,0.0495,0.0541,0.2135,3.029,0.01,16,2.29,O(k log k)
T_median,D2_CNN,0.8,0.113667,0.031134,0.426,attack_frac=0.20,0.0495,0.0541,0.2135,3.029,0.01,16,2.29,O(k log k)
T4_EigenTrust,D2_CNN,0.2,0.158333,0.041105,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D2_CNN,0.3,0.203333,0.044189,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D2_CNN,0.4,0.266667,0.053344,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D2_CNN,0.5,0.338333,0.055026,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D2_CNN,0.6,0.41,0.05899,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D2_CNN,0.7,0.561667,0.057366,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D2_CNN,0.8,0.65,0.056198,,forge=0.00,-0.0498,0.0168,-0.0164,1.993,0.01,11400,1628.57,O(iters * E)
T_meanvar_z,D2_CNN,0.2,0.948333,0.021122,,"w_m=0.80,m=0.25",0.746,0.6498,2.4037,2.551,0.01,18,2.57,O(k)
T_meanvar_z,D2_CNN,0.3,0.975,0.014216,,"w_m=0.70,m=0.27",0.746,0.6498,2.4037,2.551,0.01,18,2.57,O(k)
T_meanvar_z,D2_CNN,0.4,0.98,0.011635,,"w_m=0.60,m=0.27",0.746,0.6498,2.4037,2.551,0.01,18,2.57,O(k)
T_meanvar_z,D2_CNN,0.5,0.985,0.01048,,"w_m=0.50,m=0.24",0.746,0.6498,2.4037,2.551,0.01,18,2.57,O(k)
T_meanvar_z,D2_CNN,0.6,0.988333,0.009577,,"w_m=0.40,m=0.19",0.746,0.6498,2.4037,2.551,0.01,18,2.57,O(k)
T_meanvar_z,D2_CNN,0.7,0.993333,0.006434,,"w_m=0.30,m=0.11",0.746,0.6498,2.4037,2.551,0.01,18,2.57,O(k)
T_meanvar_z,D2_CNN,0.8,0.995,0.005601,,"w_m=0.16,m=0.00",0.746,0.6498,2.4037,2.551,0.01,18,2.57,O(k)
T1_mean,D3_RHMD,0.2,0.126667,0.032871,,forge=0.00,0.2052,0.0625,0.3637,2.535,0.01,7,1.0,O(k)
T1_mean,D3_RHMD,0.3,0.473667,0.055401,,forge=0.00,0.2052,0.0625,0.3637,2.535,0.01,7,1.0,O(k)
T1_mean,D3_RHMD,0.4,0.794667,0.041223,,forge=0.00,0.2052,0.0625,0.3637,2.535,0.01,7,1.0,O(k)
T1_mean,D3_RHMD,0.5,0.965,0.01693,,forge=0.00,0.2052,0.0625,0.3637,2.535,0.01,7,1.0,O(k)
T1_mean,D3_RHMD,0.6,0.995,0.005601,,forge=0.00,0.2052,0.0625,0.3637,2.535,0.01,7,1.0,O(k)
T1_mean,D3_RHMD,0.7,0.996667,0.004596,,forge=0.00,0.2052,0.0625,0.3637,2.535,0.01,7,1.0,O(k)
T1_mean,D3_RHMD,0.8,1.0,0.0,,forge=0.00,0.2052,0.0625,0.3637,2.535,0.01,7,1.0,O(k)
T2_SL,D3_RHMD,0.2,0.126667,0.032871,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T2_SL,D3_RHMD,0.3,0.473667,0.055401,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T2_SL,D3_RHMD,0.4,0.794667,0.041223,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
