defense,scheme,profile,N,sigma,phi,p,inclique,clique_forced,n_seeds,AUC,tpr_at_fpr01,gap,stealth,worst_vis
D3_RHMD,T4_EigenTrust,AP4_phi030,20,0.15,0.3,,,False,100,,0.16666666666666669,0.011762009334124125,1.0,-0.06320331831360511
D3_RHMD,T4_EigenTrust,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,0.15,0.008840885211168749,1.0,-0.06447925990486117
D3_RHMD,T4_EigenTrust,AP6c_active,20,0.15,,,0.0,True,100,,0.18833333333333332,0.01869523592869281,1.0,-0.047500461869480926
D3_RHMD,T5_TFLDT,AP1,20,0.15,,,,False,100,,1.0,0.44268604352304186,0.0016666666666666666,0.6454061894224222
D3_RHMD,T5_TFLDT,AP4_phi030,20,0.15,0.3,,,False,100,,0.8299999999999998,0.13805470395342465,0.9983333333333334,0.29507192584976194
D3_RHMD,T5_TFLDT,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,0.7413333333333334,0.11704298745720779,1.0,0.27664169392900756
D3_RHMD,T5_TFLDT,AP6c_active,20,0.15,,,0.0,True,100,,0.87,0.15323043042048556,1.0,0.29828827707663463
D4_MTD,T1_mean,AP1,20,0.15,,,,False,100,,1.0,0.8208827698464829,0.0,0.8621430188424987
D4_MTD,T1_mean,AP4_phi030,20,0.15,0.3,,,False,100,,0.985,0.25779090123707443,0.975,0.26818523921398646
D4_MTD,T1_mean,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,1.0,0.7284627035528983,0.0016666666666666666,0.745579802369204
D4_MTD,T1_mean,AP6c_active,20,0.15,,,0.0,True,100,,0.9683333333333333,0.33459115604430173,0.7866666666666667,0.28964305796055945
D4_MTD,T_max,AP1,20,0.15,,,,False,100,,1.0,0.7495045927494192,0.0,0.9818507433759355
D4_MTD,T_max,AP4_phi030,20,0.15,0.3,,,False,100,,0.9916666666666667,0.705550892241104,0.008333333333333333,0.8141473506122484
D4_MTD,T_max,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,0.9983333333333334,0.7150018528842078,0.0016666666666666666,0.8678214442369493
D4_MTD,T_max,AP6c_active,20,0.15,,,0.0,True,100,,0.99,0.7367223406460377,0.009999999999999998,0.9024637482777699
D4_MTD,T_meanvar_z,AP1,20,0.15,,,,False,100,,1.0,12.751960962659295,0.0,10.050290058163885
D4_MTD,T_meanvar_z,AP4_phi030,20,0.15,0.3,,,False,100,,0.9916666666666667,10.630973394405927,0.006666666666666666,7.093683070872849
D4_MTD,T_meanvar_z,AP5_phi100_p10,20,0.15,1.0,10,,False,100,,1.0,11.33365313792646,0.0,8.697963195868331
D4_MTD,T_meanvar_z,AP6c_active,20,0.15,,,0.0,True,100,,0.9883333333333334,15.72802871467581,0.009999999999999998,10.754152152320094
