defense,scheme,inclique,atk_mean,ben_mean,tpr,x_cross_theory,s_a,s_b
D3_RHMD,T1_mean,0.25,0.5179149724993483,0.20655436582350767,0.9788888888888888,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.25,0.9615365245089613,0.3798705169191501,0.9922222222222223,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.25,8.731222210553454,0.390785732707466,0.991111111111111,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.30000000000000004,0.5452717127739267,0.20655436582350767,0.9888888888888889,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.30000000000000004,0.9618698578422947,0.3798705169191501,0.9933333333333333,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.30000000000000004,8.146410752075413,0.390785732707466,0.9922222222222223,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.35000000000000003,0.573081171970738,0.20655436582350767,0.9966666666666667,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.35000000000000003,0.962203191175628,0.3798705169191501,0.9933333333333333,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.35000000000000003,8.04571832964205,0.390785732707466,0.9955555555555556,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.4,0.6011229962710707,0.20655436582350767,0.9988888888888889,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.4,0.9625517833355771,0.3798705169191501,0.9933333333333333,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.4,8.317838517922883,0.390785732707466,0.9966666666666667,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.45,0.629255883686456,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.45,0.962984821822766,0.3798705169191501,0.9955555555555556,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.45,8.781039229224445,0.390785732707466,0.9977777777777779,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.5,0.6574086125054088,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
