tier,defense,scheme,q_attack_frac,tpr_mean,tpr_ci95,inversion_rate,edge_evasion_rate,op_count,cost_vs_T1,complexity,measured_threshold_z,forge,w_m,m
V1T,D5_Stochastic,T2_SL,0.5,0.9,0.122643,0.0,1.0,20,2.86,O(k),2.2659,,0.5,0.5629
V1T,D5_Stochastic,T3_Beta,0.5,0.9,0.122643,0.0,1.0,20,2.86,O(k),2.2659,,0.5,0.5629
V1T,D5_Stochastic,T5_TFLDT,0.5,0.855556,0.149074,0.0,1.0,20,2.86,O(k + deg),2.2659,,0.5,0.5629
V1T,D5_Stochastic,T_max,0.5,0.877778,0.081068,0.0,1.0,6,0.86,O(k),2.2659,,0.5,0.5629
V1T,D5_Stochastic,T_median,0.5,0.855556,0.130926,0.0,1.0,16,2.29,O(k log k),2.2659,,0.5,0.5629
V1T,D5_Stochastic,T4_EigenTrust,0.5,0.266667,0.130667,0.0,1.0,11400,1628.57,O(iters * E),2.2659,,0.5,0.5629
V1T,D5_Stochastic,T_meanvar_z,0.5,0.888889,0.068867,0.0,1.0,18,2.57,O(k),2.2659,,0.5,0.5629
V0,D5_Stochastic,T1_mean,0.8,0.966667,0.034922,0.0,1.0,7,1.0,O(k),2.2659,0.3,,
V0,D5_Stochastic,T2_SL,0.8,0.966667,0.034922,0.0,1.0,20,2.86,O(k),2.2659,0.3,,
V0,D5_Stochastic,T3_Beta,0.8,0.966667,0.034922,0.0,1.0,20,2.86,O(k),2.2659,0.3,,
V0,D5_Stochastic,T5_TFLDT,0.8,0.944444,0.052059,0.0,1.0,20,2.86,O(k + deg),2.2659,0.3,,
V0,D5_Stochastic,T_max,0.8,0.922222,0.053976,0.0,1.0,6,0.86,O(k),2.2659,0.3,,
V0,D5_Stochastic,T_median,0.8,0.977778,0.029678,0.0,1.0,16,2.29,O(k log k),2.2659,0.3,,
V0,D5_Stochastic,T4_EigenTrust,0.8,0.411111,0.162136,0.0,1.0,11400,1628.57,O(iters * E),2.2659,0.3,,
V0,D5_Stochastic,T_meanvar_z,0.8,0.944444,0.052059,0.0,1.0,18,2.57,O(k),2.2659,0.3,,
V0T,D5_Stochastic,T1_mean,0.8,0.966667,0.034922,0.0,1.0,7,1.0,O(k),2.2659,0.3,,
V0T,D5_Stochastic,T2_SL,0.8,0.966667,0.034922,0.0,1.0,20,2.86,O(k),2.2659,0.3,,
V0T,D5_Stochastic,T3_Beta,0.8,0.966667,0.034922,0.0,1.0,20,2.86,O(k),2.2659,0.3,,
V0T,D5_Stochastic,T5_TFLDT,0.8,0.944444,0.052059,0.0,1.0,20,2.86,O(k + deg),2.2659,0.3,,
V0T,D5_Stochastic,T_max,0.8,0.922222,0.053976,0.0,1.0,6,0.86,O(k),2.2659,0.3,,
V0T,D5_Stochastic,T_median,0.8,0.977778,0.029678,0.0,1.0,16,2.29,O(k log k),2.2659,0.3,,
V0T,D5_Stochastic,T4_EigenTrust,0.8,0.411111,0.162136,0.0,1.0,11400,1628.57,O(iters * E),2.2659,0.3,,
V0T,D5_Stochastic,T_meanvar_z,0.8,0.944444,0.052059,0.0,1.0,18,2.57,O(k),2.2659,0.3,,
V1,D5_Stochastic,T1_mean,0.8,0.888889,0.099117,0.0,1.0,7,1.0,O(k),2.2659,,0.2,0.2519
V1,D5_Stochastic,T2_SL,0.8,0.888889,0.099117,0.0,1.0,20,2.86,O(k),2.2659,,0.2,0.2519
V1,D5_Stochastic,T3_Beta,0.8,0.888889,0.099117,0.0,1.0,20,2.86,O(k),2.2659,,0.2,0.2519
V1,D5_Stochastic,T5_TFLDT,0.8,0.844444,0.140655,0.0,1.0,20,2.86,O(k + deg),2.2659,,0.2,0.2519
V1,D5_Stochastic,T_max,0.8,0.955556,0.050069,0.0,1.0,6,0.86,O(k),2.2659,,0.2,0.2519
V1,D5_Stochastic,T_median,0.8,0.911111,0.077216,0.0,1.0,16,2.29,O(k log k),2.2659,,0.2,0.2519
V1,D5_Stochastic,T4_EigenTrust,0.8,0.411111,0.134751,0.0,1.0,11400,1628.57,O(iters * E),2.2659,,0.2,0.2519
V1,D5_Stochastic,T_meanvar_z,0.8,0.988889,0.021778,0.0,1.0,18,2.57,O(k),2.2659,,0.2,0.2519
V1T,D5_Stochastic,T1_mean,0.8,0.944444,0.08827,0.0,1.0,7,1.0,O(k),2.2659,,0.2,0.4742
V1T,D5_Stochastic,T2_SL,0.8,0.944444,0.08827,0.0,1.0,20,2.86,O(k),2.2659,,0.2,0.4742
V1T,D5_Stochastic,T3_Beta,0.8,0.944444,0.08827,0.0,1.0,20,2.86,O(k),2.2659,,0.2,0.4742
V1T,D5_Stochastic,T5_TFLDT,0.8,0.9,0.134499,0.0,1.0,20,2.86,O(k + deg),2.2659,,0.2,0.4742
V1T,D5_Stochastic,T_max,0.8,0.955556,0.050069,0.0,1.0,6,0.86,O(k),2.2659,,0.2,0.4742
V1T,D5_Stochastic,T_median,0.8,0.922222,0.077216,0.0,1.0,16,2.29,O(k log k),2.2659,,0.2,0.4742
V1T,D5_Stochastic,T4_EigenTrust,0.8,0.477778,0.142093,0.0,1.0,11400,1628.57,O(iters * E),2.2659,,0.2,0.4742
V1T,D5_Stochastic,T_meanvar_z,0.8,0.955556,0.038608,0.0,1.0,18,2.57,O(k),2.2659,,0.2,0.4742
